Name,Transmission,KM_Driven,Fuel_Type,Owner,Registration,EMI,Sales,Year,Types,City
2014 Volkswagen Polo GT TSI 1.2 PETROL AT,AUTOMATIC,"41,194 km",Petrol,1st Owner,MH-01,"?11,136/month","Fixed Price?5,69,599",14-Apr,Cars from 5 lakh - 10 lakh,Mumbai
2020 Honda City VX CVT PETROL,AUTOMATIC,"13,369 km",Petrol,1st Owner,GJ-06,"?23,224/month","?12,43,599?12,36,699",20-Feb,Honda,Ahmedabad
2020 KIA SELTOS 1.5 GTX+ AT,AUTOMATIC,"23,502 km",Diesel,1st Owner,UP-32-x-xxxx,"?32,525/month","?18,09,499?17,31,999",20-Oct,Diesel,Lucknow
2014 Maruti Swift ZXI,MANUAL,"43,673 km",Petrol,1st Owner,AP-28-x-xxxx,"?10,270/month","?5,35,499?5,25,299",14-May,Cars from 5 lakh - 10 lakh,Hyderabad
2013 Honda Amaze 1.2 SMT I VTEC,MANUAL,"92,490 km",Petrol,2nd Owner,RJ-14,"?6,931/month","?3,64,199?3,54,499",13-Apr,Honda,Jaipur
2014 Ford Ecosport 1.5 TITANIUMTDCI OPT,MANUAL,"84,582 km",Diesel,1st Owner,MH-01,"?11,169/month","?5,76,299?5,71,299",14-Jun,Ford,Mumbai
2022 Volkswagen TAIGUN HIGHLINE 1.0 TSI AT,,"6,172 km",Petrol,1st Owner,GJ-01,"?29,584/month","?16,28,099?15,75,399",22-Jul,Petrol,Ahmedabad
2018 Hyundai Xcent E PLUS,MANUAL,"36,913 km",Petrol,2nd Owner,WB-10,"?8,516/month","?4,76,999?4,35,599",18-May,Hyundai,Kolkata
2020 KIA SONET GTX PLUS 1.5D  AT,,"51,657 km",Diesel,1st Owner,MH-12,"?23,615/month","?12,90,099?12,57,499",20-Nov,Diesel,Pune
2019 MG HECTOR SHARP 2.0 DIESEL,MANUAL,"93,193 km",Diesel,1st Owner,GJ-27,"?28,001/month","?16,40,799?14,91,099",19-Aug,MG,Ahmedabad
2020 Maruti New  Wagon-R LXI CNG 1.0 L,MANUAL,"79,333 km",Petrol + CNG,1st Owner,UP-32-x-xxxx,"?11,419/month","Fixed Price?5,84,099",20-Jun,,Lucknow
2020 Mahindra KUV 100 NXT K8 6 STR,MANUAL,"18,626 km",Petrol,1st Owner,TN-22-x-xxxx,"?14,190/month","?7,58,899?7,25,799",20-Dec,Mahindra,Chennai
2014 Maruti Wagon R 1.0 LXI CNG,MANUAL,"71,143 km",Petrol + CNG,1st Owner,MH-12,"?7,969/month","?4,37,399?4,07,599",14-Dec,CNG,Pune
2018 Maruti Swift VXI,MANUAL,"79,345 km",Petrol,1st Owner,WB-06,"?9,468/month","?5,57,099?4,84,299",18-May,,Kolkata
2015 Maruti Swift Dzire ZDI,MANUAL,"37,712 km",Diesel,1st Owner,KA-01-x-xxxx,"?14,311/month","?7,41,699?7,31,999",15-May,Diesel,Bangalore
2020 KIA SELTOS HTK PLUS AT 1.5 DIESEL,AUTOMATIC,"57,851 km",Diesel,1st Owner,TS-07-x-xxxx,"?24,940/month","?14,60,599?13,28,099",20-Feb,Diesel,Hyderabad
2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,MANUAL,"17,153 km",Petrol,1st Owner,UP-32-x-xxxx,"?10,158/month","?5,80,599?5,19,599",18-May,Cars from 5 lakh - 10 lakh,Lucknow
2016 Toyota Corolla Altis G,MANUAL,"80,440 km",Petrol,1st Owner,MH-43,"?15,883/month","Fixed Price?8,45,799",16-Apr,Cars from 5 lakh - 10 lakh,Mumbai
2019 Tata Harrier XZ 2.0L Kryotec,MANUAL,"59,371 km",Diesel,1st Owner,RJ-45,"?26,181/month","?15,52,999?13,94,149",19-Oct,Diesel,Jaipur
2021 Honda City V CVT,AUTOMATIC,"2,374 km",Petrol,1st Owner,MH-12,"?23,887/month","?13,59,899?12,71,999",21-Nov,Cars above 10 lakh,Pune
2013 Maruti Alto K10 LXI,MANUAL,"65,913 km",Petrol,1st Owner,KL-39,"?4,373/month","?2,36,699?2,23,699",13-Sep,Cars from 2 lakh - 5 lakh,Kochi
2021 Toyota Glanza V CVT,AUTOMATIC,"14,995 km",Petrol,1st Owner,MH-12,"?18,373/month","?10,27,299?9,78,399",21-Mar,Toyota,Pune
2020 Tata TIGOR XZ PLUS 1.2 REVOTRON,MANUAL,"6,262 km",Petrol,1st Owner,MH-05,"?13,456/month","?6,94,899?6,88,299",20-Dec,Tata,Mumbai
2010 Hyundai i10 SPORTZ 1.2,MANUAL,"29,714 km",Petrol,1st Owner,KL-08,"?3,820/month","Fixed Price?1,95,399",10-Mar,,Kochi
2016 Volkswagen Ameo COMFORTLINE 1.2,MANUAL,"62,345 km",Petrol,1st Owner,DL-14,"?8,704/month","?4,53,099?4,45,199",16-Jul,Volkswagen,New Delhi
2020 Maruti S Cross ALPHA 1.5 SMART HYBRID,MANUAL,"39,239 km",Petrol,1st Owner,UP-32-x-xxxx,"?21,923/month","Fixed Price?11,67,399",20-Aug,Cars above 10 lakh,Lucknow
2019 Maruti New  Wagon-R ZXI 1.2,MANUAL,"5,866 km",Petrol,1st Owner,TN-18-x-xxxx,"?11,630/month","?6,02,499?5,94,899",19-Aug,,Chennai
2020 KIA SELTOS HTK PLUS 1.5 DIESEL,MANUAL,"55,754 km",Diesel,1st Owner,MH-05,"?24,347/month","?14,21,399?12,96,499",20-Feb,Diesel,Mumbai
2019 KIA SELTOS GTK 1.4 GDI PETROL,MANUAL,"25,481 km",Petrol,1st Owner,WB-24,"?22,035/month","?12,63,899?11,73,399",19-Nov,Cars above 10 lakh,Kolkata
2019 KIA SELTOS HTK 1.5 PETROL,MANUAL,"19,788 km",Petrol,1st Owner,GJ-15,"?19,194/month","?10,95,149?10,22,099",,KIA,Ahmedabad
2018 Jeep Compass 2.0 LONGITUDE (O),MANUAL,"79,397 km",Diesel,1st Owner,UP-70,"?20,492/month","?11,65,199?10,91,199",18-Nov,Diesel,New Delhi
2018 Honda Amaze 1.2 V CVT I VTEC,AUTOMATIC,"10,392 km",Petrol,1st Owner,KA-01-x-xxxx,"?15,341/month","?8,21,899?8,16,899",18-Sep,Honda,Bangalore
2017 Toyota Corolla Altis G AT,AUTOMATIC,"75,764 km",Petrol,1st Owner,DL-10,"?24,863/month","?13,89,899?13,23,999",17-Sep,Toyota,New Delhi
2018 Toyota YARIS VX CVT,AUTOMATIC,"29,417 km",Petrol,2nd Owner,KA-22-x-xxxx,"?18,507/month","?9,91,199?9,85,499",18-May,Toyota,Bangalore
2022 Renault Kiger RXZ CVT 1.0 TURBO DUAL TONE,,"4,328 km",Petrol,1st Owner,WB-12,"?19,677/month","?11,62,999?10,47,799",22-May,Cars above 10 lakh,Kolkata
2021 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,MANUAL,"16,294 km",Petrol + CNG,1st Owner,TN-09-x-xxxx,"?11,206/month","?5,78,199?5,73,199",21-Oct,CNG,Chennai
2016 Maruti Celerio ZXI AMT,AUTOMATIC,"36,894 km",Petrol,1st Owner,TN-12-x-xxxx,"?8,903/month","Fixed Price?4,55,399",16-Nov,Cars from 2 lakh - 5 lakh,Chennai
